event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_core_iTLB-load-misses_,max,cpu_core_iTLB-load-misses__max,-0.3469,0.3469,弱相关,0.0,极显著,0.656,低差异,-34.3963,2570934.3095,1686629.1005,-0.7969,中等效应,0.0,显著
cpu_core_iTLB-load-misses_,med,cpu_core_iTLB-load-misses__med,0.3049,0.3049,弱相关,0.0,极显著,3.8785,高差异,287.8502,88538.0952,343395.1671,0.6897,中等效应,0.0,显著
cpu_core_L1-dcache-load-misses_,mean,cpu_core_L1-dcache-load-misses__mean,0.0191,0.0191,弱相关,0.363243,不显著,1.0415,低差异,4.1528,3458828.354,3602465.2067,0.0411,小效应,0.37669644444444444,不显著
cpu_core_L1-dcache-load-misses_,std,cpu_core_L1-dcache-load-misses__std,-0.5972,0.5972,中等相关,0.0,极显著,0.4388,低差异,-56.119,5222669.3606,2291758.2778,-1.6039,大效应,0.0,显著
cpu_core_L1-dcache-load-misses_,max,cpu_core_L1-dcache-load-misses__max,-0.5231,0.5231,中等相关,0.0,极显著,0.5289,低差异,-47.1112,25155472.8025,13304440.0948,-1.3224,大效应,0.0,显著
cpu_core_L1-dcache-load-misses_,med,cpu_core_L1-dcache-load-misses__med,0.2767,0.2767,弱相关,0.0,极显著,3.4392,高差异,243.923,893474.4244,3072864.016,0.6204,中等效应,0.0,显著
cpu_core_L1-dcache-loads_,mean,cpu_core_L1-dcache-loads__mean,0.1476,0.1476,弱相关,0.0,极显著,1.5578,中等差异,55.7807,92178077.0965,143595620.5998,0.3215,小效应,0.0,显著
cpu_core_L1-dcache-loads_,std,cpu_core_L1-dcache-loads__std,-0.1438,0.1438,弱相关,0.0,极显著,0.7591,低差异,-24.0925,120675327.4732,91601625.2592,-0.3131,小效应,0.0,显著
cpu_core_L1-dcache-loads_,max,cpu_core_L1-dcache-loads__max,-0.1339,0.1339,弱相关,0.0,显著,0.7895,低差异,-21.0519,558204261.5336,440691454.1914,-0.2911,小效应,0.0,显著
cpu_core_L1-dcache-loads_,med,cpu_core_L1-dcache-loads__med,0.2339,0.2339,弱相关,0.0,极显著,3.1949,高差异,219.4876,38775567.6275,123883143.0051,0.5183,中等效应,0.0,显著
cpu_core_L1-dcache-stores_,mean,cpu_core_L1-dcache-stores__mean,0.1838,0.1838,弱相关,0.0,极显著,1.6738,中等差异,67.3758,44607931.9923,74662887.4337,0.4029,小效应,0.0,显著
cpu_core_L1-dcache-stores_,std,cpu_core_L1-dcache-stores__std,-0.1726,0.1726,弱相关,0.0,极显著,0.7442,低差异,-25.5752,62963141.6618,46860181.7081,-0.3774,小效应,0.0,显著
cpu_core_L1-dcache-stores_,max,cpu_core_L1-dcache-stores__max,-0.1481,0.1481,弱相关,0.0,极显著,0.7945,低差异,-20.5516,293162224.993,232912713.8316,-0.3226,小效应,0.0,显著
cpu_core_L1-dcache-stores_,med,cpu_core_L1-dcache-stores__med,0.2885,0.2885,弱相关,0.0,极显著,4.2342,高差异,323.4201,15242772.1064,64540961.4277,0.649,中等效应,0.0,显著
cpu_core_L1-icache-load-misses_,mean,cpu_core_L1-icache-load-misses__mean,0.1543,0.1543,弱相关,0.0,极显著,1.4639,低差异,46.3851,6810598.78,9969700.8067,0.3364,小效应,0.0,显著
cpu_core_L1-icache-load-misses_,std,cpu_core_L1-icache-load-misses__std,-0.3555,0.3555,弱相关,0.0,极显著,0.5912,低差异,-40.8784,10550239.6093,6237475.1691,-0.8193,大效应,0.0,显著
cpu_core_L1-icache-load-misses_,max,cpu_core_L1-icache-load-misses__max,-0.3627,0.3627,弱相关,0.0,极显著,0.6318,低差异,-36.8192,54159263.8908,34218273.5032,-0.8384,大效应,0.0,显著
cpu_core_L1-icache-load-misses_,med,cpu_core_L1-icache-load-misses__med,0.3078,0.3078,弱相关,0.0,极显著,4.0962,高差异,309.6183,2123882.9692,8699813.1402,0.6969,中等效应,0.0,显著
cpu_core_LLC-load-misses_,mean,cpu_core_LLC-load-misses__mean,-0.0342,0.0342,弱相关,0.102398,不显著,0.9289,低差异,-7.1094,130915.5638,121608.2993,-0.0738,小效应,0.1095723821656051,不显著
cpu_core_LLC-load-misses_,std,cpu_core_LLC-load-misses__std,-0.4677,0.4677,中等相关,0.0,极显著,0.5217,低差异,-47.8339,230681.5668,120337.6499,-1.1398,大效应,0.0,显著
cpu_core_LLC-load-misses_,max,cpu_core_LLC-load-misses__max,-0.5057,0.5057,中等相关,0.0,极显著,0.5082,低差异,-49.1794,1147868.6317,583353.226,-1.2629,大效应,0.0,显著
cpu_core_LLC-load-misses_,med,cpu_core_LLC-load-misses__med,0.1835,0.1835,弱相关,0.0,极显著,2.2513,高差异,125.1342,35793.7325,80583.92,0.4021,小效应,0.0,显著
cpu_core_LLC-loads_,mean,cpu_core_LLC-loads__mean,0.0608,0.0608,弱相关,0.003729,显著,1.17,低差异,17.0021,559721.423,654885.804,0.1312,小效应,0.0042045100671140945,显著
cpu_core_LLC-loads_,std,cpu_core_LLC-loads__std,-0.4561,0.4561,中等相关,0.0,极显著,0.4879,低差异,-51.2079,888587.7225,433560.432,-1.104,大效应,0.0,显著
cpu_core_LLC-loads_,max,cpu_core_LLC-loads__max,-0.4209,0.4209,中等相关,0.0,极显著,0.5197,低差异,-48.032,4606811.7969,2394069.2971,-0.9997,大效应,0.0,显著
cpu_core_LLC-loads_,med,cpu_core_LLC-loads__med,0.2357,0.2357,弱相关,0.0,极显著,3.1463,高差异,214.6337,178695.7437,562237.0679,0.5224,中等效应,0.0,显著
cpu_core_LLC-store-misses_,mean,cpu_core_LLC-store-misses__mean,0.1494,0.1494,弱相关,0.0,极显著,1.8719,中等差异,87.1866,44976.5069,84189.9962,0.3255,小效应,0.0,显著
cpu_core_LLC-store-misses_,std,cpu_core_LLC-store-misses__std,0.119,0.119,弱相关,0.0,显著,1.2849,低差异,28.4918,69608.3945,89441.1089,0.2582,小效应,0.0,显著
cpu_core_LLC-store-misses_,max,cpu_core_LLC-store-misses__max,0.0513,0.0513,弱相关,0.01446,显著,1.1099,低差异,10.9913,384293.9594,426532.7574,0.1106,小效应,0.015982105263157895,显著
cpu_core_LLC-store-misses_,med,cpu_core_LLC-store-misses__med,0.1296,0.1296,弱相关,0.0,显著,2.9611,高差异,196.1085,16767.1877,49649.0691,0.2816,小效应,0.0,显著
cpu_core_LLC-stores_,mean,cpu_core_LLC-stores__mean,0.1619,0.1619,弱相关,0.0,极显著,1.7152,中等差异,71.52,187048.8348,320826.1551,0.3533,小效应,0.0,显著
cpu_core_LLC-stores_,std,cpu_core_LLC-stores__std,-0.0033,0.0033,弱相关,0.875034,不显著,0.9936,低差异,-0.6409,252586.4448,250967.541,-0.0071,小效应,0.8802737245508981,不显著
cpu_core_LLC-stores_,max,cpu_core_LLC-stores__max,-0.0222,0.0222,弱相关,0.288969,不显著,0.9579,低差异,-4.2146,1278597.3866,1224709.0634,-0.0479,小效应,0.30341745,不显著
cpu_core_LLC-stores_,med,cpu_core_LLC-stores__med,0.1805,0.1805,弱相关,0.0,极显著,2.6796,高差异,167.9574,90377.2913,242172.6428,0.3953,小效应,0.0,显著
cpu_core_node-loads_,mean,cpu_core_node-loads__mean,0.0166,0.0166,弱相关,0.429622,不显著,1.0476,低差异,4.7594,12918.6543,13533.5109,0.0357,小效应,0.4428005889570552,不显著
cpu_core_node-loads_,std,cpu_core_node-loads__std,-0.0724,0.0724,弱相关,0.000546,显著,0.856,低差异,-14.4022,23897.4318,20455.6714,-0.1564,小效应,0.0006240000000000001,显著
cpu_core_node-loads_,max,cpu_core_node-loads__max,-0.1086,0.1086,弱相关,0.0,显著,0.8133,低差异,-18.6743,134953.3151,109751.7183,-0.2354,小效应,0.0,显著
cpu_core_node-loads_,med,cpu_core_node-loads__med,0.1206,0.1206,弱相关,0.0,显著,1.9773,中等差异,97.7313,2892.5574,5719.4923,0.2617,小效应,0.0,显著
