event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_atom_cpu-cycles_,med,cpu_atom_cpu-cycles__med,0.1558,0.1558,弱相关,0.0,极显著,2.0617,高差异,106.1719,60250180.1415,124218928.5544,0.3399,小效应,0.0,显著
cpu_atom_dTLB-load-misses_,mean,cpu_atom_dTLB-load-misses__mean,-0.0347,0.0347,弱相关,0.097809,不显著,0.9241,低差异,-7.593,385717.7827,356430.3061,-0.0748,小效应,0.10533276923076922,不显著
cpu_atom_dTLB-load-misses_,std,cpu_atom_dTLB-load-misses__std,-0.5144,0.5144,中等相关,0.0,极显著,0.4737,低差异,-52.6341,676478.0128,320420.0442,-1.2922,大效应,0.0,显著
cpu_atom_dTLB-load-misses_,max,cpu_atom_dTLB-load-misses__max,-0.5299,0.5299,中等相关,0.0,极显著,0.4957,低差异,-50.4251,3518623.1541,1744354.3752,-1.346,大效应,0.0,显著
cpu_atom_dTLB-load-misses_,med,cpu_atom_dTLB-load-misses__med,0.2086,0.2086,弱相关,0.0,极显著,2.7465,高差异,174.653,96606.6275,265332.9686,0.4595,小效应,0.0,显著
cpu_atom_dTLB-loads_,mean,cpu_atom_dTLB-loads__mean,0.0902,0.0902,弱相关,1.6e-05,显著,1.3263,低差异,32.6311,40222005.6964,53346887.7348,0.1952,小效应,1.9063829787234042e-05,显著
cpu_atom_dTLB-loads_,std,cpu_atom_dTLB-loads__std,-0.1226,0.1226,弱相关,0.0,显著,0.7857,低差异,-21.4287,61545528.0032,48357145.311,-0.2662,小效应,0.0,显著
cpu_atom_dTLB-loads_,max,cpu_atom_dTLB-loads__max,-0.1376,0.1376,弱相关,0.0,极显著,0.7677,低差异,-23.2288,298886581.3207,229458880.5698,-0.2992,小效应,0.0,显著
cpu_atom_dTLB-loads_,med,cpu_atom_dTLB-loads__med,0.1924,0.1924,弱相关,0.0,极显著,3.1822,高差异,218.2172,12027702.5784,38274220.144,0.4224,小效应,0.0,显著
cpu_atom_dTLB-store-misses_,mean,cpu_atom_dTLB-store-misses__mean,0.0221,0.0221,弱相关,0.292566,不显著,1.0529,低差异,5.2898,35179.666,37040.603,0.0476,小效应,0.3052862608695652,不显著
cpu_atom_dTLB-store-misses_,std,cpu_atom_dTLB-store-misses__std,-0.418,0.418,中等相关,0.0,极显著,0.5693,低差异,-43.0708,56764.8423,32315.7542,-0.9912,大效应,0.0,显著
cpu_atom_dTLB-store-misses_,max,cpu_atom_dTLB-store-misses__max,-0.4174,0.4174,中等相关,0.0,极显著,0.5892,低差异,-41.0771,287923.0826,169652.6703,-0.9894,大效应,0.0,显著
cpu_atom_dTLB-store-misses_,med,cpu_atom_dTLB-store-misses__med,0.1916,0.1916,弱相关,0.0,极显著,2.3813,高差异,138.1305,11576.4538,27567.0717,0.4206,小效应,0.0,显著
