event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
L1-dcache-stores,mean,L1-dcache-stores_mean,0.2636,0.2636,Weak,0.0,Highly Significant,2.3064,High,130.6431,9229958.5514,21288260.6852,0.5887,Medium,0.0,Significant
instructions,med,instructions_med,0.2612,0.2612,Weak,0.0,Highly Significant,4.1689,High,316.8856,28845641.4272,120253334.4078,0.5828,Medium,0.0,Significant
node-loads,med,node-loads_med,0.2606,0.2606,Weak,0.0,Highly Significant,1.995,Moderate,99.5006,31005.8992,61856.9545,0.5814,Medium,0.0,Significant
dTLB-stores,mean,dTLB-stores_mean,0.2589,0.2589,Weak,0.0,Highly Significant,2.2827,High,128.2674,9223220.3192,21053608.5883,0.5775,Medium,0.0,Significant
LLC-loads,med,LLC-loads_med,0.2505,0.2505,Weak,0.0,Highly Significant,3.2557,High,225.5707,78766.6218,256441.0166,0.5575,Medium,0.0,Significant
L1-dcache-load-misses,med,L1-dcache-load-misses_med,0.2457,0.2457,Weak,0.0,Highly Significant,3.4998,High,249.9782,296481.0784,1037619.1863,0.546,Medium,0.0,Significant
L1-icache-load-misses,std,L1-icache-load-misses_std,0.2456,0.2456,Weak,0.0,Highly Significant,2.0069,High,100.6892,593466.0136,1191022.3229,0.5457,Medium,0.0,Significant
branch-misses,std,branch-misses_std,-0.242,0.242,Weak,0.0,Highly Significant,0.6014,Low,-39.8598,1352137.9399,813178.5178,-0.5373,Medium,0.0,Significant
branch-load-misses,std,branch-load-misses_std,-0.242,0.242,Weak,0.0,Highly Significant,0.6014,Low,-39.8599,1352113.9404,813163.1823,-0.5373,Medium,0.0,Significant
LLC-load-misses,med,LLC-load-misses_med,0.2394,0.2394,Weak,0.0,Highly Significant,1.8323,Moderate,83.2345,30820.9286,56474.5807,0.5311,Medium,0.0,Significant
iTLB-loads,std,iTLB-loads_std,0.2354,0.2354,Weak,0.0,Highly Significant,2.4255,High,142.5521,20095.9398,48743.1323,0.5217,Medium,0.0,Significant
LLC-store,max,LLC-store_max,0.2354,0.2354,Weak,0.0,Highly Significant,1.3334,Low,33.3418,1151105.5756,1534904.9085,0.5218,Medium,0.0,Significant
L1-dcache-loads,med,L1-dcache-loads_med,0.2351,0.2351,Weak,0.0,Highly Significant,4.1758,High,317.5817,9208289.2479,38452135.2682,0.5211,Medium,0.0,Significant
dTLB-loads,med,dTLB-loads_med,0.2346,0.2346,Weak,0.0,Highly Significant,4.223,High,322.3024,9090455.4608,38389212.4949,0.5198,Medium,0.0,Significant
dTLB-store-misses,mean,dTLB-store-misses_mean,0.2327,0.2327,Weak,0.0,Highly Significant,2.267,High,126.702,6329.6176,14349.369,0.5155,Medium,0.0,Significant
L1-icache-load-misses,max,L1-icache-load-misses_max,0.2319,0.2319,Weak,0.0,Highly Significant,1.6358,Moderate,63.5835,3502830.7479,5730053.2561,0.5137,Medium,0.0,Significant
instructions,mean,instructions_mean,0.2291,0.2291,Weak,0.0,Highly Significant,2.167,High,116.7021,61877754.5225,134090368.575,0.5071,Medium,0.0,Significant
bus-cycles,mean,bus-cycles_mean,0.2284,0.2284,Weak,0.0,Highly Significant,1.519,Moderate,51.8972,761290.7569,1156379.5766,0.5053,Medium,0.0,Significant
iTLB-loads,max,iTLB-loads_max,0.2245,0.2245,Weak,0.0,Highly Significant,2.0264,High,102.6411,116344.1303,235761.0134,0.4963,Small,0.0,Significant
cache-misses,max,cache-misses_max,0.2226,0.2226,Weak,0.0,Highly Significant,1.2236,Low,22.3575,3416224.0462,4180006.2215,0.4919,Small,0.0,Significant
dTLB-store-misses,med,dTLB-store-misses_med,0.2207,0.2207,Weak,0.0,Highly Significant,5.6042,High,460.4191,1887.7493,10579.3086,0.4875,Small,0.0,Significant
branch-misses,med,branch-misses_med,0.2093,0.2093,Weak,0.0,Highly Significant,3.3571,High,235.7072,277595.2003,931907.0122,0.4611,Small,0.0,Significant
branch-load-misses,med,branch-load-misses_med,0.2093,0.2093,Weak,0.0,Highly Significant,3.3568,High,235.6801,277619.3095,931912.6511,0.4611,Small,0.0,Significant
branch-misses,max,branch-misses_max,-0.2069,0.2069,Weak,0.0,Highly Significant,0.7253,Low,-27.4682,4864214.1653,3528101.3047,-0.4555,Small,0.0,Significant
branch-load-misses,max,branch-load-misses_max,-0.2069,0.2069,Weak,0.0,Highly Significant,0.7253,Low,-27.467,4863997.7633,3528001.4027,-0.4555,Small,0.0,Significant
LLC-load-misses,max,LLC-load-misses_max,0.2064,0.2064,Weak,0.0,Highly Significant,1.2556,Low,25.5596,270633.5728,339806.3675,0.4545,Small,0.0,Significant
cache-references,max,cache-references_max,0.2054,0.2054,Weak,0.0,Highly Significant,1.3873,Low,38.7271,9238452.9706,12816237.1415,0.4521,Small,0.0,Significant
L1-dcache-loads,mean,L1-dcache-loads_mean,0.201,0.201,Weak,0.0,Highly Significant,2.1023,High,110.2313,20842560.6131,43817576.6307,0.442,Small,0.0,Significant
dTLB-loads,mean,dTLB-loads_mean,0.1979,0.1979,Weak,0.0,Highly Significant,2.0807,High,108.0673,20860809.0177,43404524.4083,0.4349,Small,0.0,Significant
branches,med,branches_med,0.1978,0.1978,Weak,0.0,Highly Significant,3.5631,High,256.3063,5531550.4706,19709262.8496,0.4347,Small,0.0,Significant
branch-loads,med,branch-loads_med,0.1958,0.1958,Weak,0.0,Highly Significant,3.5033,High,250.331,5559482.5168,19476589.7061,0.4302,Small,0.0,Significant
L1-dcache-load-misses,std,L1-dcache-load-misses_std,0.1918,0.1918,Weak,0.0,Highly Significant,1.27,Low,26.9984,808008.5139,1026157.8401,0.421,Small,0.0,Significant
node-stores,max,node-stores_max,0.1865,0.1865,Weak,0.0,Highly Significant,1.298,Low,29.8022,633828.035,822722.7151,0.4088,Small,0.0,Significant
dTLB-load-misses,std,dTLB-load-misses_std,0.1841,0.1841,Weak,0.0,Highly Significant,1.7961,Moderate,79.6126,19359.359,34771.8534,0.4036,Small,0.0,Significant
iTLB-load-misses,mean,iTLB-load-misses_mean,0.1808,0.1808,Weak,0.0,Highly Significant,2.8696,High,186.9629,13500.0887,38740.2512,0.3959,Small,0.0,Significant
cpu-cycles,std,cpu-cycles_std,-0.1796,0.1796,Weak,0.0,Highly Significant,0.7712,Low,-22.8808,85844078.585,66202235.3628,-0.3933,Small,0.0,Significant
node-loads,max,node-loads_max,0.1793,0.1793,Weak,0.0,Highly Significant,1.2587,Low,25.8726,240171.1218,302309.7093,0.3927,Small,0.0,Significant
dTLB-load-misses,mean,dTLB-load-misses_mean,0.1784,0.1784,Weak,0.0,Highly Significant,2.8125,High,181.2507,18049.0298,50763.0307,0.3905,Small,0.0,Significant
LLC-store-misses,max,LLC-store-misses_max,0.178,0.178,Weak,0.0,Highly Significant,1.266,Low,26.599,725722.1723,918757.2177,0.3898,Small,0.0,Significant
dTLB-store-misses,std,dTLB-store-misses_std,0.167,0.167,Weak,0.0,Highly Significant,1.2714,Low,27.1401,9504.7302,12084.3207,0.3649,Small,0.0,Significant
LLC-loads,std,LLC-loads_std,0.1647,0.1647,Weak,0.0,Highly Significant,1.3088,Low,30.8765,176206.1284,230612.3867,0.3598,Small,0.0,Significant
branches,mean,branches_mean,0.1607,0.1607,Weak,0.0,Highly Significant,1.9303,Moderate,93.0333,11141237.9785,21506300.5393,0.3507,Small,0.0,Significant
iTLB-load-misses,med,iTLB-load-misses_med,0.1571,0.1571,Weak,0.0,Highly Significant,3.7196,High,271.9627,8669.8922,32248.7682,0.3427,Small,0.0,Significant
branch-loads,mean,branch-loads_mean,0.1563,0.1563,Weak,0.0,Highly Significant,1.8989,Moderate,89.8862,11191934.7543,21251942.165,0.341,Small,0.0,Significant
dTLB-load-misses,med,dTLB-load-misses_med,0.1558,0.1558,Weak,0.0,Highly Significant,3.613,High,261.2981,11973.4902,43259.9885,0.3397,Small,0.0,Significant
dTLB-load-misses,max,dTLB-load-misses_max,0.1548,0.1548,Weak,0.0,Highly Significant,1.4431,Low,44.3058,118644.916,171211.4891,0.3376,Small,0.0,Significant
iTLB-load-misses,std,iTLB-load-misses_std,0.1388,0.1388,Weak,0.0,Highly Significant,1.6487,Moderate,64.8656,17094.8506,28183.5362,0.3018,Small,0.0,Significant
branches,max,branches_max,-0.1344,0.1344,Weak,0.0,Significant,0.8126,Low,-18.7417,74679193.3768,60683015.8867,-0.2921,Small,0.0,Significant
cpu-cycles,max,cpu-cycles_max,-0.1313,0.1313,Weak,0.0,Significant,0.886,Low,-11.4028,334883861.9608,296697767.3995,-0.2854,Small,0.0,Significant
branches,std,branches_std,-0.1098,0.1098,Weak,0.0,Significant,0.8049,Low,-19.5092,15043062.1013,12108284.5966,-0.238,Small,0.0,Significant
branch-loads,std,branch-loads_std,-0.1001,0.1001,Weak,2e-06,Significant,0.8121,Low,-18.789,14154664.445,11495149.0106,-0.2167,Small,2.4390243902439023e-06,Significant
L1-dcache-stores,max,L1-dcache-stores_max,0.0983,0.0983,Weak,3e-06,Significant,1.1847,Low,18.4669,49894387.0966,59108347.3777,0.2128,Small,3.6144578313253016e-06,Significant
instructions,max,instructions_max,-0.0961,0.0961,Weak,4e-06,Significant,0.8778,Low,-12.2193,436534159.7549,383192547.5378,-0.208,Small,4.7619047619047615e-06,Significant
branch-loads,max,branch-loads_max,-0.094,0.094,Weak,7e-06,Significant,0.8526,Low,-14.7379,66771226.6541,56930538.5102,-0.2035,Small,8.235294117647058e-06,Significant
bus-cycles,max,bus-cycles_max,-0.0916,0.0916,Weak,1.2e-05,Significant,0.9496,Low,-5.0362,2445876.7717,2322697.5896,-0.1981,Small,1.3953488372093024e-05,Significant
dTLB-stores,max,dTLB-stores_max,0.0899,0.0899,Weak,1.8e-05,Significant,1.1734,Low,17.3442,48774265.035,57233760.1882,0.1944,Small,2.0689655172413793e-05,Significant
branch-misses,mean,branch-misses_mean,0.0852,0.0852,Weak,4.7e-05,Significant,1.2889,Low,28.8937,893646.6484,1151854.402,0.1843,Small,5.280898876404494e-05,Significant
branch-load-misses,mean,branch-load-misses_mean,0.0852,0.0852,Weak,4.7e-05,Significant,1.2889,Low,28.8946,893638.346,1151851.4644,0.1843,Small,5.280898876404494e-05,Significant
L1-dcache-stores,std,L1-dcache-stores_std,0.0782,0.0782,Weak,0.000187,Significant,1.1807,Low,18.0671,11775265.4599,13902718.3079,0.169,Small,0.0002054945054945055,Significant
iTLB-load-misses,max,iTLB-load-misses_max,0.0782,0.0782,Weak,0.000187,Significant,1.2793,Low,27.9303,113322.2185,144973.4641,0.1691,Small,0.0002054945054945055,Significant
dTLB-stores,std,dTLB-stores_std,0.0686,0.0686,Weak,0.001056,Significant,1.1569,Low,15.6907,11675725.6689,13507733.9222,0.1482,Small,0.0011478260869565219,Significant
L1-dcache-loads,max,L1-dcache-loads_max,0.0475,0.0475,Weak,0.023328,Significant,1.0858,Low,8.5815,112769249.6877,122446586.5698,0.1025,Small,0.025083870967741936,Significant
dTLB-loads,max,dTLB-loads_max,0.0369,0.0369,Weak,0.078371,Not Significant,1.0686,Low,6.8573,110983580.895,118594013.8636,0.0796,Small,0.08337340425531915,Not Significant
L1-dcache-load-misses,max,L1-dcache-load-misses_max,-0.0302,0.0302,Weak,0.149547,Not Significant,0.9624,Low,-3.7638,4153609.923,3997277.7177,-0.0651,Small,0.15741789473684212,Not Significant
dTLB-store-misses,max,dTLB-store-misses_max,0.0279,0.0279,Weak,0.182829,Not Significant,1.0363,Low,3.6256,58325.4944,60440.1312,0.0602,Small,0.190446875,Not Significant
instructions,std,instructions_std,-0.0235,0.0235,Weak,0.262824,Not Significant,0.9607,Low,-3.9293,85586511.7139,82223576.6237,-0.0506,Small,0.27095257731958766,Not Significant
LLC-loads,max,LLC-loads_max,-0.0182,0.0182,Weak,0.385626,Not Significant,0.9729,Low,-2.7134,1032269.5476,1004260.1639,-0.0392,Small,0.393495918367347,Not Significant
dTLB-loads,std,dTLB-loads_std,-0.0161,0.0161,Weak,0.443421,Not Significant,0.9668,Low,-3.3165,28460996.5075,27517076.0411,-0.0346,Small,0.4479,Not Significant
L1-dcache-loads,std,L1-dcache-loads_std,-0.0049,0.0049,Weak,0.816418,Not Significant,0.9899,Low,-1.0105,28602910.5912,28313871.3831,-0.0105,Small,0.816418,Not Significant
